env_step_num,reward_6,reward_2,reward_5,reward_1,total_agent_reward
0,0.0,-0.005800882689422001,0.0,-0.028618769857101132,-0.034419652546523134
1,0.0,-0.037754465280100666,0.0,-0.07158439677581191,-0.10933886205591258
2,-0.00565205515595153,-0.05242042421526275,-0.02489712354773655,-0.04675613965885711,-0.12972574257780795
3,-0.013949297617189611,-0.02498913426510988,-0.0889587979513764,-0.1415287556818735,-0.2694259855155494
4,-0.04084300076961519,-0.028685309869470058,-0.15789235371790483,-0.03633049832938994,-0.26375116268638
5,-0.024222266119904835,-0.0890369198387885,-0.31193605622796755,-0.03827519727518632,-0.4634704394618472
6,-0.19807699499731385,-0.08681904309238471,-0.05075029109694745,-0.03520096460683272,-0.3708472937934787
7,-0.20027762427546408,-0.09724491317095,-0.04902196462848227,-0.10911494764615416,-0.45565944972105055
8,-0.10159762388295676,-0.07315411872275993,-0.03112533171311952,-0.17605762760891647,-0.3819347019277527
9,-0.16038595596389527,-0.10144082338358978,-0.03837099790990916,-0.178793303280604,-0.4789910805379982
10,-0.12002018608817155,-0.2751625576529236,-0.00781865349970758,-0.10376405373439068,-0.5067654509751933
11,-0.05930082420289427,-0.18898682823354446,-0.14551428129839133,-0.1991760925167514,-0.5929780262515815
12,0.0034999999999999996,-0.10530392309354727,-0.21417560949564246,-0.23264255686634233,-0.548622089455532
13,-0.14584546645448848,-0.19568339581266636,-0.2057910424664787,-0.10535467273845477,-0.6526745774720883
14,-0.10812081705648297,-0.12169483029265596,-0.1311419039325502,-0.03907987917725492,-0.4000374304589441
15,-0.1781357973810304,-0.07909672223472722,-0.19220691626855135,-0.09386474470286957,-0.5433041805871786
16,-0.0826964540289422,-0.09008737269521225,-0.1727984415992424,-0.13421386203556163,-0.47979613035895846
17,-0.0898528544140261,-0.09435116953816784,-0.05968127523396923,-0.08125525850178617,-0.32514055768794936
18,-0.13028136493187048,-0.1795625133828685,-0.06845224336153227,-0.14122810344953235,-0.5195242251258037
19,-0.1419140178998219,-0.16256100760775216,-0.02697603177006034,-0.1217111337137673,-0.4531621909914017
20,-0.07471089712293902,-0.335529747442026,-0.09430965059091151,-0.09271327581114275,-0.5972635709670192
21,-0.21718512101817822,-0.15123412282405982,-0.03812413030466996,-0.1894974207566406,-0.5960407949035487
22,-0.12375744449875752,-0.16181158648791427,-0.040730456645600516,-0.2058522121925365,-0.5321516998248088
23,-0.0475461748334447,-0.19300254035275538,-0.045115298110526045,-0.23167640462647726,-0.5173404179232034
24,-0.012345728726165479,-0.05798731628656207,-0.18093469963873499,-0.24251253101026166,-0.49378027566172417
25,-0.017420303328661235,-0.13887896774335007,-0.1590649191112061,-0.061371746990167564,-0.37673593717338494
26,-0.12288813883571642,-0.2002038814243407,-0.18119705717953474,-0.1414157207242356,-0.6457047981638274
27,-0.10991719166825638,-0.13557138298061297,-0.06253174385216669,-0.03933637179432935,-0.3473566902953654
28,-0.2288792573833725,-0.07075335685012524,-0.15831050946214895,-0.09919279718982718,-0.5571359208854739
29,-0.09990993995851054,-0.03971338757916244,-0.0830228137617381,-0.1472261585950682,-0.3698722998944793
30,-0.15163910511418302,-0.028060149401659143,-0.19350099512933536,-0.18609021321908376,-0.5592904628642612
31,-0.1368120163579851,-0.10387405248872553,-0.1574835931256573,-0.12183627718913367,-0.5200059391615016
32,-0.21729221412370742,-0.07144277328923936,-0.036645777996441004,-0.17044038475145212,-0.4958211501608399
33,-0.3334529456794038,-0.055838565700634224,-0.07642277151749045,-0.2297664473660779,-0.6954807302636064
34,-0.024484410872097115,0.0,-0.04795914723682225,-0.18821528667168805,-0.2606588447806074
35,0.0175,0.0,-0.12039600858478988,-0.049242827401348936,-0.1521388359861388
36,0.0,-0.008173737449804328,-0.12926385747374117,-0.04754888799972767,-0.18498648292327316
37,0.0,-0.13557068140852438,-0.12319605985528077,-0.03475622991577499,-0.29352297117958015
38,-0.0011427521205041558,-0.16894627134618304,-0.25433951701810875,-0.04640686992811971,-0.47083541041291566
39,-0.03402607132265059,-0.20743300648413032,-0.06610944790146472,-0.0650900029127259,-0.3726585286209716
40,-0.17496733574166037,-0.21637952707975835,-0.0282832672213381,-0.21524871754913621,-0.6348788475918931
41,-0.17813137473350932,-0.05850043805996076,-0.029418015062110534,-0.03011980252385642,-0.29616963037943705
42,-0.09480162311672877,-0.119687604202656,-0.03497815276542679,-0.06695229177433064,-0.3164196718591422
43,-0.036056511541683246,-0.10962310228134306,-0.010759694264037521,-0.1398000967629534,-0.2962394048500172
44,-0.041040567879565046,-0.06492958996576173,0.0,-0.1976002138899587,-0.30357037173528545
45,-0.168729542631971,-0.0816487351556444,-0.11402839254634453,-0.04509421175606377,-0.40950088209002367
46,-0.05690474820538243,-0.060784799040787624,-0.0981205190319489,-0.0529527129327778,-0.26876277921089675
47,-0.11717226721554351,-0.05024045376991854,-0.0668676700298674,-0.06750862472118863,-0.30178901573651806
48,-0.07421017719013619,-0.15672730097431659,-0.13944332609630786,-0.013109023942379299,-0.38348982820313987
49,-0.04297212535375731,-0.1870392334503943,-0.18031525400756088,-0.053838193651747,-0.4641648064634595
50,-0.1409754462373705,-0.03427569987662916,-0.06896286609419626,-0.15692354443195208,-0.40113755664014794
51,-0.03597863250795376,0.010493469733711201,-0.04347223222255712,-0.46118134922423554,-0.5301387442210352
52,-0.15407377176333967,-0.028161488118348628,-0.04909959105262535,-0.7390258560001292,-0.9703607069344428
53,-0.07544669580165315,-0.1236699887709458,-0.0753948042672891,-0.4097310007873685,-0.6842424896272565
54,-0.1422302137282605,-0.26243056102303564,-0.09809866173946932,-0.28225928393905564,-0.7850187204298211
55,0.00697166816707696,-0.1633516978765033,-0.09226749092334302,-0.4043998564964322,-0.6530473771292016
56,-0.06767401964698753,-0.1425833695448318,-0.1587931600077088,-0.6127549351441919,-0.9818054843437201
57,-0.04881674564699642,0.019413646581349902,-0.19505227825118038,-0.3964804745627332,-0.6209358518795601
58,-0.08920570137865921,-0.01559950807807036,-0.315847545950119,-0.2170692407119107,-0.6377219961187592
59,-0.16864228215298077,-0.029620135755278165,-0.2801452824344852,-0.20247485179856262,-0.6808825521413068
60,-0.03234005745243945,-0.13947701082414488,-0.2588357514031424,-0.23493476341427438,-0.6655875830940011
61,-0.04104863283829761,-0.20415873874219076,-0.08426581664018204,-0.1415626134882554,-0.4710358017089258
62,-0.13413217537644073,-0.363405495405498,-0.05044028415562421,-0.02163326305113762,-0.5696112179887006
63,-0.20603145988500654,-0.16432284154770657,-0.14020232626804485,-0.054044302868050814,-0.5646009305688088
64,-0.1169002323451923,-0.14699291350611204,-0.21326619448772957,-0.12610239739760126,-0.6032617377366352
65,-0.1621783072558412,-0.031552365876501426,-0.12721333062138396,-0.21136573995988148,-0.5323097437136081
66,-0.06858511693753382,-0.11052020746622364,-0.08479092294391591,-0.19918578457593406,-0.4630820319236074
67,-0.10586448520398493,-0.1548563030953581,-0.14569867545662385,-0.13504646962640024,-0.5414659333823671
68,-0.013493955218844373,-0.17108263126035292,-0.06784691682338334,-0.018877807760488436,-0.27130131106306904
69,-0.12461291098804211,-0.053462474430888036,-0.013513093985617178,-0.047728202742524456,-0.23931668214707177
70,-0.16327251467109,-0.0670744646659476,-0.13007793703968754,-0.09065091914334332,-0.45107583552006847
71,-0.20553865131426988,0.0,-0.046465289605364536,-0.23433885252932712,-0.48634279344896153
72,-0.0942045230239949,-0.013602544899331388,-0.10985253569250929,-0.10412417347744586,-0.32178377709328143
73,-0.02386511497887602,-0.14475287518352756,-0.3041778578896234,-0.03874040119876313,-0.5115362492507901
74,-0.017500000000000005,-0.19855005406288068,-0.1531616239725521,-0.00889317190391007,-0.37810484993934285
75,-0.017499999999999995,-0.025919103108779686,-0.29560465679485637,-0.0343232886635233,-0.37334704856715933
76,-0.054774916744064886,0.010359707005089154,-0.20600458694105603,-0.12688271374808963,-0.3773025104281214
77,-0.196665188900727,-0.020579182538436724,-0.28431141882134037,-0.09610982666340667,-0.5976656169239107
78,-0.17164728135081914,-0.06131292483250952,-0.21592732356021418,-0.08796649322217875,-0.5368540229657216
79,-0.14223885197056108,-0.07045441511290093,-0.1574497683091434,-0.03292828082457955,-0.40307131621718495
80,-0.14835188202901076,-0.05804780345051517,-0.07278369252217465,-0.09761901658015529,-0.3768023945818558
81,0.0,-0.11328542202241462,-0.2808258794641339,-0.017978105050278827,-0.4120894065368273
82,-0.14521201808233644,-0.0892475788136512,-0.1838832429100808,-0.0270848700862844,-0.44542770989235286
83,-0.1994269883601722,-0.042213738385287504,-0.39181733004226715,-0.028558940701652297,-0.6620169974893791
84,-0.1529025258165912,-0.019654901866801067,-0.2532997867424351,-0.060163504773750875,-0.48602071919957823
85,-0.3458419544903303,-0.040370741042140265,-0.17628582911747148,-0.18380982597211667,-0.7463083506220588
86,-0.1353584737489888,-0.11914288819409388,-0.15529297801773956,-0.10857356384541839,-0.5183679038062406
87,-0.1755490959199959,-0.08407250119849319,-0.17319034096669966,-0.13657856287689554,-0.5693905009620843
88,-0.15438233749912184,-0.1269794681494409,-0.3599942277183818,-0.03964091659383847,-0.6809969499607831
89,-0.34958691302711253,-0.08175282579818066,-0.02416437281173648,-0.15442209093274115,-0.6099262025697708
90,-0.20876071997512452,-0.08733616010769145,0.024500000000000004,-0.06057374112191914,-0.3321706212047351
91,-0.23230891122141092,-0.08169081547864998,-0.009433945464668785,-0.05210329493147553,-0.37553696709620527
92,-0.05802695597304459,-0.07234611236118263,-0.01677046772558242,-0.04434653534005159,-0.1914900713998612
93,-0.10578050914089965,-0.017424850260838873,-0.09530108879952356,-0.04400715362466873,-0.2625136018259308
94,-0.0076578483616467664,-0.11101651052076482,-0.06190047549805602,-0.01788321984000504,-0.19845805422047266
95,-0.13638864588887448,-0.012689114646221461,-0.13286193756829015,0.0,-0.2819396981033861
96,-0.006840056963201734,0.006932106153247575,-0.118014055935346,-0.042341233568704804,-0.16026324031400496
97,-0.008976937191095189,0.0,-0.28367655204374376,-0.13240523156014827,-0.42505872079498724
98,-0.11704262712073812,-0.029728070646524427,-0.047721870494994614,-0.12541527146907014,-0.3199078397313273
99,-0.1245908903790301,-0.052711162100546036,-0.06721974513758162,-0.08463739117120721,-0.329159188788365
100,-0.07814804152008607,-0.04410126764001322,-0.18385581977481064,-0.0726664899804164,-0.37877161891532635
101,-0.09275974621745683,-0.0856124689896957,-0.2961105702796757,-0.1302606730571776,-0.6047434585440058
102,-0.13504007565742357,-0.20539987611867022,-0.3156235104221086,-0.22013991112898762,-0.8762033733271901
103,-0.14433592734869335,-0.09619959303116085,-0.2497376308459094,-0.14842913148190917,-0.6387022827076727
104,-0.19114413539263206,-0.08490429835709654,-0.14947107721812025,-0.017628974002560208,-0.44314848497040904
105,-0.18145519233809637,-0.06741847977461295,-0.03838310110079049,-0.05338319836044686,-0.3406399715739467
106,-0.23671405162775933,-0.05339458839152943,-0.000938990078167991,-0.008708161515183796,-0.29975579161264054
107,-0.15876613888779606,-0.10947219171584587,-0.04013943107496012,-0.060238962567003715,-0.36861672424560576
